LOCATEID,FIPSCOUNTY,POOLSIZE,TESTTYPE,RESULTTYPE,ISPOS,LOGITUDE,LATITUDE,WEEK_NEW,UNIQ_ID
br,COOK,10,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,19,De_018_dv8
by,COOK,45,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,19,De_018_dv3
DOMINICKS,WILL,50,RAMP WNV,NEGATIVE,0,-88.227862,41.284438,19,Re_064_6
fp,COOK,17,RAMP WNV,NEGATIVE,0,-87.82575,41.8755,19,De_018_dv4
G.P.W.D,WILL,50,RAMP WNV,NEGATIVE,0,-88.240273,41.234823,19,Re_064_5
hk,COOK,7,RAMP WNV,NEGATIVE,0,-87.85477,41.76822,19,De_018_dv7
lh,COOK,7,RAMP WNV,NEGATIVE,0,-87.89658,41.78742,19,De_018_dv6
lp,COOK,40,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,19,De_018_dv2
NN,COOK,12,RAMP WNV,NEGATIVE,0,-87.816896,41.850487,19,De_018_dv5
REX,WILL,50,RAMP WNV,NEGATIVE,0,-88.239002,41.268854,19,Re_064_4
rp,COOK,10,RAMP WNV,NEGATIVE,0,-87.81937,41.73735,19,De_018_dv1
SHADOW LAKES 1,WILL,50,RAMP WNV,NEGATIVE,0,-88.208286,41.287102,19,Re_064_3
19- OLYMPIA FIELDS,COOK,50,RAMP WNV,NEGATIVE,0,-87.703217,41.519033,20,So_069_002
3-LRSH,COOK,50,RAMP WNV,NEGATIVE,0,-87.876167,41.709833,20,So_069_001
br,COOK,50,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,20,De_018_dv19
br,COOK,50,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,20,De_018_dv20
br,COOK,17,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,20,De_018_dv21
bv,COOK,15,RAMP WNV,NEGATIVE,0,-87.866029,41.86918,20,De_018_dv23
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,20,De_018_dv10
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,20,De_018_dv24
by,COOK,26,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,20,De_018_dv25
EV1,COOK,34,RAMP WNV,NEGATIVE,0,-87.68698,42.006388,20,No_060_NS0015
EV3,COOK,29,RAMP WNV,NEGATIVE,0,-87.70028,42.05611,20,No_060_NS0016
fp,COOK,50,RAMP WNV,NEGATIVE,0,-87.82575,41.8755,20,De_018_dv31
fp,COOK,34,RAMP WNV,NEGATIVE,0,-87.82575,41.8755,20,De_018_dv32
G.P.W.D,WILL,50,RAMP WNV,NEGATIVE,0,-88.240273,41.234823,20,Re_064_12
G.P.W.D,WILL,50,RAMP WNV,NEGATIVE,0,-88.240273,41.234823,20,Re_064_16
hk,COOK,19,RAMP WNV,NEGATIVE,0,-87.85477,41.76822,20,De_018_dv15
lg,COOK,18,RAMP WNV,NEGATIVE,0,-87.86581,41.81025,20,De_018_dv16
lh,COOK,18,RAMP WNV,NEGATIVE,0,-87.89658,41.78742,20,De_018_dv14
lp,COOK,50,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,20,De_018_dv17
lp,COOK,50,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,20,De_018_dv9
lp,COOK,20,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,20,De_018_dv18
mp,COOK,15,RAMP WNV,NEGATIVE,0,-87.86557,41.89633,20,De_018_dv26
NN,COOK,28,RAMP WNV,NEGATIVE,0,-87.816896,41.850487,20,De_018_dv33
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,20,No_060_NS0006
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,20,No_060_NS0007
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,20,No_060_NS0008
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,20,No_060_NS0009
NSG14,COOK,50,RAMP WNV,NEGATIVE,0,-87.74885,42.098383,20,No_060_NS0010
NSG2,COOK,35,RAMP WNV,NEGATIVE,0,-87.8036,42.067666,20,No_060_NS0001
NSG21,COOK,50,RAMP WNV,NEGATIVE,0,-87.751133,42.076717,20,No_060_NS0011
NSG24,COOK,39,RAMP WNV,NEGATIVE,0,-87.497,42.8472,20,No_060_NS0012
NSG25,COOK,36,RAMP WNV,NEGATIVE,0,-87.716083,42.085583,20,No_060_NS0013
NSG29,COOK,50,RAMP WNV,NEGATIVE,0,-87.766116,42.143945,20,No_060_NS0014
NSG3,COOK,50,RAMP WNV,NEGATIVE,0,-87.7118,42.059166,20,No_060_NS0002
NSG5,COOK,35,RAMP WNV,NEGATIVE,0,-87.761766,42.097216,20,No_060_NS0003
NSG6,COOK,31,RAMP WNV,NEGATIVE,0,-87.745233,42.02175,20,No_060_NS0004
NSG9,COOK,50,RAMP WNV,NEGATIVE,0,-87.781716,42.117633,20,No_060_NS0005
on,COOK,35,RAMP WNV,NEGATIVE,0,-87.79174,41.90527,20,De_018_dv29
op,COOK,6,RAMP WNV,NEGATIVE,0,-87.78848,41.8713,20,De_018_dv30
REX,WILL,50,RAMP WNV,NEGATIVE,0,-88.239002,41.268854,20,Re_064_11
REX,WILL,50,RAMP WNV,NEGATIVE,0,-88.239002,41.268854,20,Re_064_17
rf,COOK,50,RAMP WNV,NEGATIVE,0,-87.82272,41.9058,20,De_018_dv27
rf,COOK,5,RAMP WNV,NEGATIVE,0,-87.82272,41.9058,20,De_018_dv28
rp,COOK,42,RAMP WNV,NEGATIVE,0,-87.81937,41.73735,20,De_018_dv12
su,COOK,1,RAMP WNV,NEGATIVE,0,-87.80536,41.78853,20,De_018_dv11
we,COOK,18,RAMP WNV,NEGATIVE,0,-87.88832,41.85585,20,De_018_dv22
ws,COOK,13,RAMP WNV,NEGATIVE,0,-87.88511,41.73975,20,De_018_dv13
#3 SKOKIE,COOK,51,RAMP WNV,NEGATIVE,0,-87.71816,42.04479,21,No_060_NS0094
#3 SKOKIE,COOK,45,RAMP WNV,NEGATIVE,0,-87.71816,42.04479,21,No_060_NS0066
#3 SKOKIE,COOK,19,RAMP WNV,NEGATIVE,0,-87.71816,42.04479,21,No_060_NS0033
#4 SKOKIE,COOK,27,RAMP WNV,NEGATIVE,0,-87.76067,42.03236,21,No_060_NS0095
#4 SKOKIE,COOK,26,RAMP WNV,NEGATIVE,0,-87.76067,42.03236,21,No_060_NS0067
12 - HOLY CROSS CEM.,COOK,50,RAMP WNV,NEGATIVE,0,-87.546317,41.608167,21,So_069_016
13- LYNWOOD,COOK,50,RAMP WNV,NEGATIVE,0,-87.55685,41.514767,21,So_069_018
16- OAK LAWN,COOK,50,RAMP WNV,NEGATIVE,0,-87.754917,41.7063,21,So_069_008
17- EVERGREEN CEM.,COOK,50,RAMP WNV,NEGATIVE,0,-87.709283,41.731217,21,So_069_011
19- OLYMPIA FIELDS,COOK,50,RAMP WNV,NEGATIVE,0,-87.703217,41.519033,21,So_069_003
19- OLYMPIA FIELDS,COOK,50,RAMP WNV,NEGATIVE,0,-87.703217,41.519033,21,So_069_014
28- MT HOPE CEM,COOK,50,RAMP WNV,NEGATIVE,0,-87.690627,41.677762,21,So_069_010
29-ORLAND PARK,COOK,50,RAMP WNV,NEGATIVE,0,-87.82634,41.63917,21,So_069_009
2-CHILDRENS FARM,COOK,50,RAMP WNV,NEGATIVE,0,-87.8371,41.65675,21,So_069_012
30- LEMONT,COOK,35,RAMP WNV,NEGATIVE,0,-87.91815,41.67988,21,So_069_005
31- FLOSSMOOR,COOK,50,RAMP WNV,NEGATIVE,0,-87.70761,41.54352,21,So_069_017
3-LRSH,COOK,50,RAMP WNV,NEGATIVE,0,-87.876167,41.709833,21,So_069_006
4-WESTERN,COOK,38,RAMP WNV,NEGATIVE,0,-87.886033,41.627883,21,So_069_007
6-SOUTHERN,COOK,50,RAMP WNV,NEGATIVE,0,-87.616883,41.481883,21,So_069_013
9 - LAHON,COOK,50,RAMP WNV,NEGATIVE,0,-87.606317,41.483933,21,So_069_004
br,COOK,50,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,21,De_018_dv37
br,COOK,50,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,21,De_018_dv52
br,COOK,50,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,21,De_018_dv75
br,COOK,50,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,21,De_018_dv76
br,COOK,16,RAMP WNV,NEGATIVE,0,-87.83992,41.83077,21,De_018_dv77
bv,COOK,50,RAMP WNV,NEGATIVE,0,-87.866029,41.86918,21,De_018_dv81
bv,COOK,18,RAMP WNV,NEGATIVE,0,-87.866029,41.86918,21,De_018_dv82
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv35
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv38
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv39
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv40
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv44
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv45
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv56
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv57
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv58
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv83
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv84
by,COOK,50,RAMP WNV,NEGATIVE,0,-87.90625,41.88705,21,De_018_dv85
DOMINICS,WILL,50,RAMP WNV,NEGATIVE,0,-88.134098,41.170362,21,Re_064_13
DOMINICS,WILL,50,RAMP WNV,NEGATIVE,0,-88.134098,41.170362,21,Re_064_18
EV1,COOK,50,RAMP WNV,NEGATIVE,0,-87.68698,42.006388,21,No_060_NS0068
EV1,COOK,50,RAMP WNV,NEGATIVE,0,-87.68698,42.006388,21,No_060_NS0069
EV1,COOK,50,RAMP WNV,NEGATIVE,0,-87.68698,42.006388,21,No_060_NS0070
EV1,COOK,50,RAMP WNV,NEGATIVE,0,-87.68698,42.006388,21,No_060_NS0096
EV1,COOK,50,RAMP WNV,NEGATIVE,0,-87.68698,42.006388,21,No_060_NS0097
EV1,COOK,50,RAMP WNV,NEGATIVE,0,-87.68698,42.006388,21,No_060_NS0098
EV1,COOK,12,RAMP WNV,NEGATIVE,0,-87.68698,42.006388,21,No_060_NS0034
EV2,COOK,11,RAMP WNV,NEGATIVE,0,-87.72479,42.06901,21,No_060_NS0099
EV3,COOK,40,RAMP WNV,NEGATIVE,0,-87.70028,42.05611,21,No_060_NS0035
EV3,COOK,16,RAMP WNV,NEGATIVE,0,-87.70028,42.05611,21,No_060_NS0071
EV3,COOK,14,RAMP WNV,NEGATIVE,0,-87.70028,42.05611,21,No_060_NS0100
fp,COOK,50,RAMP WNV,NEGATIVE,0,-87.82575,41.8755,21,De_018_dv63
fp,COOK,50,RAMP WNV,NEGATIVE,0,-87.82575,41.8755,21,De_018_dv64
fp,COOK,50,RAMP WNV,NEGATIVE,0,-87.82575,41.8755,21,De_018_dv93
fp,COOK,15,RAMP WNV,NEGATIVE,0,-87.82575,41.8755,21,De_018_dv94
G.P.W.D,WILL,50,RAMP WNV,NEGATIVE,0,-88.240273,41.234823,21,Re_064_23
hk,COOK,50,RAMP WNV,POSITIVE,1,-87.85477,41.76822,21,De_018_dv47
hk,COOK,50,RAMP WNV,NEGATIVE,0,-87.85477,41.76822,21,De_018_dv72
hk,COOK,13,RAMP WNV,NEGATIVE,0,-87.85477,41.76822,21,De_018_dv73
IDPH 05,COOK,50,RAMP WNV,NEGATIVE,0,-87.79447,41.94516,21,ID_034_I003
IDPH 101,COOK,50,RAMP WNV,NEGATIVE,0,-87.7537,41.6995,21,ID_034_I001
lg,COOK,50,RAMP WNV,NEGATIVE,0,-87.86581,41.81025,21,De_018_dv48
lg,COOK,14,RAMP WNV,NEGATIVE,0,-87.86581,41.81025,21,De_018_dv74
lh,COOK,50,RAMP WNV,NEGATIVE,0,-87.89658,41.78742,21,De_018_dv66
lh,COOK,33,RAMP WNV,NEGATIVE,0,-87.89658,41.78742,21,De_018_dv71
lp,COOK,50,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,21,De_018_dv36
lp,COOK,50,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,21,De_018_dv42
lp,COOK,50,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,21,De_018_dv49
lp,COOK,50,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,21,De_018_dv50
lp,COOK,50,RAMP WNV,NEGATIVE,0,-87.89391,41.82378,21,De_018_dv51
mp,COOK,29,RAMP WNV,NEGATIVE,0,-87.86557,41.89633,21,De_018_dv86
NN,COOK,50,RAMP WNV,NEGATIVE,0,-87.816896,41.850487,21,De_018_dv65
NN,COOK,50,RAMP WNV,NEGATIVE,0,-87.816896,41.850487,21,De_018_dv95
NN,COOK,12,RAMP WNV,NEGATIVE,0,-87.816896,41.850487,21,De_018_dv96
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,21,No_060_NS0019
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,21,No_060_NS0020
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,21,No_060_NS0021
NSG13,COOK,50,RAMP WNV,POSITIVE,1,-87.821683,42.110783,21,No_060_NS0022
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,21,No_060_NS0046
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,21,No_060_NS0048
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,21,No_060_NS0049
NSG13,COOK,50,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,21,No_060_NS0078
NSG13,COOK,43,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,21,No_060_NS0050
NSG13,COOK,33,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,21,No_060_NS0079
NSG13,COOK,5,RAMP WNV,NEGATIVE,0,-87.821683,42.110783,21,No_060_NS0047
NSG14,COOK,50,RAMP WNV,NEGATIVE,0,-87.74885,42.098383,21,No_060_NS0023
NSG14,COOK,50,RAMP WNV,NEGATIVE,0,-87.74885,42.098383,21,No_060_NS0051
NSG14,COOK,50,RAMP WNV,NEGATIVE,0,-87.74885,42.098383,21,No_060_NS0052
NSG14,COOK,50,RAMP WNV,NEGATIVE,0,-87.74885,42.098383,21,No_060_NS0053
NSG14,COOK,50,RAMP WNV,NEGATIVE,0,-87.74885,42.098383,21,No_060_NS0080
NSG14,COOK,33,RAMP WNV,NEGATIVE,0,-87.74885,42.098383,21,No_060_NS0081
NSG14,COOK,25,RAMP WNV,NEGATIVE,0,-87.74885,42.098383,21,No_060_NS0024
NSG17,COOK,50,RAMP WNV,NEGATIVE,0,-87.696433,42.022067,21,No_060_NS0082
NSG17,COOK,50,RAMP WNV,NEGATIVE,0,-87.696433,42.022067,21,No_060_NS0083
NSG17,COOK,25,RAMP WNV,NEGATIVE,0,-87.696433,42.022067,21,No_060_NS0054
NSG17,COOK,22,RAMP WNV,NEGATIVE,0,-87.696433,42.022067,21,No_060_NS0025
NSG2,COOK,50,RAMP WNV,NEGATIVE,0,-87.8036,42.067666,21,No_060_NS0036
NSG2,COOK,50,RAMP WNV,NEGATIVE,0,-87.8036,42.067666,21,No_060_NS0072
NSG2,COOK,50,RAMP WNV,NEGATIVE,0,-87.8036,42.067666,21,No_060_NS0073
NSG2,COOK,35,RAMP WNV,NEGATIVE,0,-87.8036,42.067666,21,No_060_NS0037
NSG21,COOK,50,RAMP WNV,NEGATIVE,0,-87.751133,42.076717,21,No_060_NS0026
NSG21,COOK,50,RAMP WNV,NEGATIVE,0,-87.751133,42.076717,21,No_060_NS0055
NSG21,COOK,50,RAMP WNV,NEGATIVE,0,-87.751133,42.076717,21,No_060_NS0056
NSG21,COOK,50,RAMP WNV,NEGATIVE,0,-87.751133,42.076717,21,No_060_NS0057
NSG21,COOK,50,RAMP WNV,NEGATIVE,0,-87.751133,42.076717,21,No_060_NS0058
NSG21,COOK,50,RAMP WNV,NEGATIVE,0,-87.751133,42.076717,21,No_060_NS0084
NSG21,COOK,45,RAMP WNV,NEGATIVE,0,-87.751133,42.076717,21,No_060_NS0085
NSG21,COOK,27,RAMP WNV,NEGATIVE,0,-87.751133,42.076717,21,No_060_NS0027
NSG22,COOK,50,RAMP WNV,NEGATIVE,0,-87.789667,42.04255,21,No_060_NS0059
NSG22,COOK,50,RAMP WNV,NEGATIVE,0,-87.789667,42.04255,21,No_060_NS0060
NSG22,COOK,50,RAMP WNV,NEGATIVE,0,-87.789667,42.04255,21,No_060_NS0086
NSG22,COOK,44,RAMP WNV,NEGATIVE,0,-87.789667,42.04255,21,No_060_NS0028
NSG23,COOK,50,RAMP WNV,NEGATIVE,0,-87.798462,42.01703,21,No_060_NS0061
NSG23,COOK,47,RAMP WNV,NEGATIVE,0,-87.798462,42.01703,21,No_060_NS0087
NSG24,COOK,50,RAMP WNV,NEGATIVE,0,-87.497,42.8472,21,No_060_NS0088
NSG24,COOK,50,RAMP WNV,NEGATIVE,0,-87.497,42.8472,21,No_060_NS0089
NSG24,COOK,29,RAMP WNV,NEGATIVE,0,-87.497,42.8472,21,No_060_NS0029
NSG25,COOK,24,RAMP WNV,NEGATIVE,0,-87.716083,42.085583,21,No_060_NS0090
NSG25,COOK,22,RAMP WNV,POSITIVE,1,-87.716083,42.085583,21,No_060_NS0062
NSG29,COOK,50,RAMP WNV,NEGATIVE,0,-87.766116,42.143945,21,No_060_NS0030
NSG29,COOK,50,RAMP WNV,NEGATIVE,0,-87.766116,42.143945,21,No_060_NS0031
NSG29,COOK,50,RAMP WNV,NEGATIVE,0,-87.766116,42.143945,21,No_060_NS0032
NSG29,COOK,50,RAMP WNV,NEGATIVE,0,-87.766116,42.143945,21,No_060_NS0063
NSG29,COOK,50,RAMP WNV,NEGATIVE,0,-87.766116,42.143945,21,No_060_NS0064
NSG29,COOK,50,RAMP WNV,NEGATIVE,0,-87.766116,42.143945,21,No_060_NS0091
NSG29,COOK,50,RAMP WNV,NEGATIVE,0,-87.766116,42.143945,21,No_060_NS0092
NSG29,COOK,35,RAMP WNV,NEGATIVE,0,-87.766116,42.143945,21,No_060_NS0065
NSG29,COOK,15,RAMP WNV,NEGATIVE,0,-87.766116,42.143945,21,No_060_NS0093
NSG3,COOK,50,RAMP WNV,NEGATIVE,0,-87.7118,42.059166,21,No_060_NS0038
NSG3,COOK,50,RAMP WNV,NEGATIVE,0,-87.7118,42.059166,21,No_060_NS0039
NSG3,COOK,50,RAMP WNV,NEGATIVE,0,-87.7118,42.059166,21,No_060_NS0040
NSG3,COOK,40,RAMP WNV,NEGATIVE,0,-87.7118,42.059166,21,No_060_NS0074
NSG3,COOK,25,RAMP WNV,NEGATIVE,0,-87.7118,42.059166,21,No_060_NS0017
NSG5,COOK,50,RAMP WNV,NEGATIVE,0,-87.761766,42.097216,21,No_060_NS0041
NSG5,COOK,50,RAMP WNV,NEGATIVE,0,-87.761766,42.097216,21,No_060_NS0042
NSG5,COOK,50,RAMP WNV,NEGATIVE,0,-87.761766,42.097216,21,No_060_NS0075
NSG5,COOK,35,RAMP WNV,NEGATIVE,0,-87.761766,42.097216,21,No_060_NS0043
NSG6,COOK,50,RAMP WNV,NEGATIVE,0,-87.745233,42.02175,21,No_060_NS0076
NSG9,COOK,50,RAMP WNV,NEGATIVE,0,-87.781716,42.117633,21,No_060_NS0044
NSG9,COOK,45,RAMP WNV,NEGATIVE,0,-87.781716,42.117633,21,No_060_NS0077
NSG9,COOK,26,RAMP WNV,NEGATIVE,0,-87.781716,42.117633,21,No_060_NS0018
NSG9,COOK,25,RAMP WNV,NEGATIVE,0,-87.781716,42.117633,21,No_060_NS0045
NWAH2,COOK,46,RAMP WNV,NEGATIVE,0,-87.998563,42.083591,21,No_061_1
NWBG1,COOK,50,RAMP WNV,NEGATIVE,0,-87.97649,42.14123,21,No_061_4
NWBR2,COOK,5,RAMP WNV,NEGATIVE,0,-88.16306,42.1139,21,No_061_7
NWBT1,COOK,52,RAMP WNV,NEGATIVE,0,-88.17953,41.99677,21,No_061_13
NWEG2,COOK,7,RAMP WNV,NEGATIVE,0,-88.04102,42.00442,21,No_061_3
NWEG3,COOK,54,RAMP WNV,NEGATIVE,0,-87.9535,42.0117,21,No_061_17
NWEGSH,COOK,18,RAMP WNV,NEGATIVE,0,-87.97607,42.02747,21,No_061_18
NWEL1,COOK,37,RAMP WNV,NEGATIVE,0,-88.25974,42.02845,21,No_061_19
NWGL2,COOK,72,RAMP WNV,NEGATIVE,0,-87.849346,42.065177,21,No_061_14
NWHE1,COOK,13,RAMP WNV,NEGATIVE,0,-88.23263,42.05819,21,No_061_9
NWHE4,COOK,64,RAMP WNV,NEGATIVE,0,-88.104243,42.103473,21,No_061_15
NWNB2,COOK,50,RAMP WNV,NEGATIVE,0,-87.88538,42.09502,21,No_061_6
NWNB3,COOK,4,RAMP WNV,NEGATIVE,0,-87.851271,42.113152,21,No_061_10
NWPA1,COOK,17,RAMP WNV,NEGATIVE,0,-88.0527,42.1045,21,No_061_8
NWPH2,COOK,42,RAMP WNV,NEGATIVE,0,-87.934,42.046,21,No_061_5
NWPR2,COOK,25,RAMP WNV,NEGATIVE,0,-87.831669,42.033113,21,No_061_2
NWRM1,COOK,52,RAMP WNV,NEGATIVE,0,-88.027866,42.079233,21,No_061_12
NWST1,COOK,32,RAMP WNV,NEGATIVE,0,-88.148,42.033,21,No_061_11
NWST1,COOK,22,RAMP WNV,NEGATIVE,0,-88.148,42.033,21,No_061_16
on,COOK,50,RAMP WNV,NEGATIVE,0,-87.79174,41.90527,21,De_018_dv41
on,COOK,50,RAMP WNV,NEGATIVE,0,-87.79174,41.90527,21,De_018_dv60
on,COOK,50,RAMP WNV,NEGATIVE,0,-87.79174,41.90527,21,De_018_dv61
on,COOK,50,RAMP WNV,NEGATIVE,0,-87.79174,41.90527,21,De_018_dv88
on,COOK,50,RAMP WNV,NEGATIVE,0,-87.79174,41.90527,21,De_018_dv89
on,COOK,12,RAMP WNV,NEGATIVE,0,-87.79174,41.90527,21,De_018_dv90
op,COOK,50,RAMP WNV,NEGATIVE,0,-87.78848,41.8713,21,De_018_dv62
op,COOK,50,RAMP WNV,NEGATIVE,0,-87.78848,41.8713,21,De_018_dv91
op,COOK,50,RAMP WNV,NEGATIVE,0,-87.78848,41.8713,21,De_018_dv92
rf,COOK,50,RAMP WNV,NEGATIVE,0,-87.82272,41.9058,21,De_018_dv59
rf,COOK,45,RAMP WNV,NEGATIVE,0,-87.82272,41.9058,21,De_018_dv87
RICHTON PARK,COOK,50,RAMP WNV,NEGATIVE,0,-87.712419,41.490915,21,So_069_015
rp,COOK,50,RAMP WNV,NEGATIVE,0,-87.81937,41.73735,21,De_018_dv46
rp,COOK,48,RAMP WNV,NEGATIVE,0,-87.81937,41.73735,21,De_018_dv68
SHADOW LAKES,WILL,50,RAMP WNV,NEGATIVE,0,-88.122959,41.171363,21,Re_064_10
su,COOK,46,RAMP WNV,NEGATIVE,0,-87.80536,41.78853,21,De_018_dv67
we,COOK,50,RAMP WNV,NEGATIVE,0,-87.88832,41.85585,21,De_018_dv43
we,COOK,50,RAMP WNV,NEGATIVE,0,-87.88832,41.85585,21,De_018_dv53
we,COOK,50,RAMP WNV,NEGATIVE,0,-87.88832,41.85585,21,De_018_dv54
we,COOK,50,RAMP WNV,NEGATIVE,0,-87.88832,41.85585,21,De_018_dv55
we,COOK,50,RAMP WNV,NEGATIVE,0,-87.88832,41.85585,21,De_018_dv78
we,COOK,50,RAMP WNV,NEGATIVE,0,-87.88832,41.85585,21,De_018_dv79
we,COOK,50,RAMP WNV,NEGATIVE,0,-87.88832,41.85585,21,De_018_dv80
WILL 03,WILL,50,RAMP WNV,NEGATIVE,0,-88.0982,41.7273,21,ID_034_I002
WNV-2016-004,KANE,23,RAMP WNV,NEGATIVE,0,-999,-999,21,KA_040_201600104
ws,COOK,50,RAMP WNV,NEGATIVE,0,-87.88511,41.73975,21,De_018_dv69
ws,COOK,38,RAMP WNV,NEGATIVE,0,-87.88511,41.73975,21,De_018_dv70
33,COOK,3,RAMP WNV,NEGATIVE,0,-87.9317,41.6571,22,CO_016_2
34,WILL,26,RAMP WNV,NEGATIVE,0,-88.041474,41.304663,22,WI_079_1634WCHD3
34,WILL,18,RAMP WNV,NEGATIVE,0,-88.041474,41.304663,22,WI_079_1634WCHD4
54,COOK,25,RAMP WNV,NEGATIVE,0,-87.8443,41.6398,22,CO_016_1
106,DUPAGE,17,RAMP WNV,NEGATIVE,0,-88.164476,41.969188,22,DU_019_W16001
109,DUPAGE,15,RAMP WNV,NEGATIVE,0,-88.24924,41.950872,22,DU_019_W16002
110,DUPAGE,40,RAMP WNV,NEGATIVE,0,-88.1743,41.9347,22,DU_019_W16003
201,DUPAGE,50,RAMP WNV,NEGATIVE,0,-88.117762,41.963811,22,DU_019_E16001
201,DUPAGE,40,RAMP WNV,NEGATIVE,0,-88.117762,41.963811,22,DU_019_E16007
208,DUPAGE,40,RAMP WNV,NEGATIVE,0,-88.01989,41.97552,22,DU_019_E16002
208,DUPAGE,28,RAMP WNV,NEGATIVE,0,-88.01989,41.97552,22,DU_019_E16008
301,DUPAGE,15,RAMP WNV,NEGATIVE,0,-88.0174,41.9691,22,DU_019_E16009
307,DUPAGE,50,RAMP WNV,NEGATIVE,0,-87.9501,41.9157,22,DU_019_E16010
309,DUPAGE,48,RAMP WNV,NEGATIVE,0,-87.9994,41.9198,22,DU_019_E16003
309,DUPAGE,40,RAMP WNV,NEGATIVE,0,-87.9994,41.9198,22,DU_019_E16004
310,DUPAGE,50,RAMP WNV,NEGATIVE,0,-999,-999,22,DU_019_E16005
406,DUPAGE,50,RAMP WNV,NEGATIVE,0,-88.18793,41.82422,22,DU_019_W16004
501,DUPAGE,50,RAMP WNV,NEGATIVE,0,-88.116694,41.872809,22,DU_019_W16005
506,DUPAGE,50,RAMP WNV,NEGATIVE,0,-88.087311,41.814018,22,DU_019_SE16001
506,DUPAGE,37,RAMP WNV,NEGATIVE,0,-88.087311,41.814018,22,DU_019_SE16010
506,DUPAGE,37,RAMP WNV,NEGATIVE,0,-88.087311,41.814018,22,DU_019_SE1610
511,DUPAGE,50,RAMP WNV,NEGATIVE,0,-88.0537,41.8867,22,DU_019_SE16002
511,DUPAGE,50,RAMP WNV,NEGATIVE,0,-88.0537,41.8867,22,DU_019_SE16011
512,DUPAGE,21,RAMP WNV,NEGATIVE,0,-88.1023,41.8404,22,DU_019_W16006
513,DUPAGE,50,RAMP WNV,POSITIVE,1,-88.128046,41.9008,22,DU_019_W16007
604,DUPAGE,50,RAMP WNV,NEGATIVE,0,-88.0085,41.8489,22,DU_019_E16006
604,DUPAGE,20,RAMP WNV,NEGATIVE,0,-88.0085,41.8489,22,DU_019_E16011
611,DUPAGE,30,RAMP WNV,NEGATIVE,0,-87.9345,41.8553,22,DU_019_SE16012
611,DUPAGE,20,RAMP WNV,NEGATIVE,0,-87.9345,41.8553,22,DU_019_SE16003
709,DUPAGE,50,RAMP WNV,POSITIVE,1,-88.243133,41.750222,22,DU_019_W16008
801,DUPAGE,20,RAMP WNV,NEGATIVE,0,-88.11702,41.738563,22,DU_019_W16009
